City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,stanley,54.868,-1.6985,-0.71,93,93,93,93,93
98,isafjordur,66.0755,-23.124,-0.62,89,100,100,100,100
99,arraial do cabo,-22.9661,-42.0278,23.34,94,77,77,77,77
100,margaret river,-33.95,115.0667,20.4,64,6,6,6,6
101,prince rupert,54.3161,-130.3201,6.83,91,100,100,100,100
102,selfoss,63.9331,-20.9971,-2.76,63,100,100,100,100
103,visby,57.6409,18.296,-0.88,74,100,100,100,100
104,poso,-1.3959,120.7524,31.42,61,42,42,42,42
105,camayenne,9.535,-13.6878,27.32,79,91,91,91,91
106,kodiak,57.79,-152.4072,4.73,87,100,100,100,100
107,susuman,62.7833,148.1667,-37.8,100,97,97,97,97
108,harstad,68.799,16.5293,-2.14,90,64,64,64,64
109,palikir - national government center,6.9248,158.1611,30.47,74,100,100,100,100
110,katsuura,35.1333,140.3,14.01,54,1,1,1,1
111,jasper,37.2001,-94.3502,7.03,84,100,100,100,100
112,port lincoln,-34.7333,135.8667,21.46,55,57,57,57,57
113,saint-francois,46.4154,3.9054,-4.64,94,18,18,18,18
114,hamilton,39.1834,-84.5333,9.69,86,100,100,100,100
115,krompachy,48.9145,20.8751,-1.03,93,66,66,66,66
116,saimbeyli,37.9863,36.0906,6.45,70,89,89,89,89
117,vorkuta,67.5,64.0,-24.29,98,82,82,82,82
118,tsiombe,-25.3,45.4833,23.28,50,13,13,13,13
119,howrah,22.5892,88.3103,25.0,73,40,40,40,40
120,tralee,52.2704,-9.7026,2.95,96,83,83,83,83
121,ust'-kut,56.7938,105.7672,-5.87,93,100,100,100,100
122,ust-nera,64.5667,143.2,-38.78,100,96,96,96,96
123,tolanaro,-25.0319,46.9987,22.2,65,59,59,59,59
124,new norfolk,-42.7826,147.0587,18.72,59,99,99,99,99
125,rolla,37.9514,-91.7713,5.29,92,100,100,100,100
126,gadzhiyevo,69.2551,33.3362,-0.74,91,100,100,100,100
127,east london,-33.0153,27.9116,21.11,86,100,100,100,100
128,ironwood,46.4547,-90.171,-0.81,86,40,40,40,40
129,alofi,-19.0595,-169.9187,28.94,65,26,26,26,26
130,puerto baquerizo moreno,-0.9,-89.6,23.76,84,100,100,100,100
131,torbeyevo,54.0797,43.2473,-9.66,95,95,95,95,95
132,qaqortoq,60.7167,-46.0333,-2.13,75,100,100,100,100
133,sampit,-2.5333,112.95,33.25,54,87,87,87,87
134,mount gambier,-37.8333,140.7667,22.83,44,9,9,9,9
135,oyama,36.3,139.8,14.77,41,6,6,6,6
136,hithadhoo,-0.6,73.0833,27.86,73,6,6,6,6
137,sekong,-6.3996,106.0252,30.54,65,66,66,66,66
138,sanming,26.2486,117.6186,13.41,95,100,100,100,100
139,sao jose da coroa grande,-8.8978,-35.1478,25.09,84,87,87,87,87
140,la passe,45.5549,-0.8967,-1.87,90,99,99,99,99
141,pandan,14.0453,124.1694,27.49,85,47,47,47,47
142,praia da vitoria,38.7333,-27.0667,14.14,67,20,20,20,20
143,ilulissat,69.2167,-51.1,-2.99,50,15,15,15,15
144,constantia,44.1833,28.65,11.5,75,100,100,100,100
145,turaif,31.6725,38.6637,7.14,70,0,0,0,0
146,campos altos,-19.6961,-46.1714,19.15,95,99,99,99,99
147,hawaiian paradise park,19.5933,-154.9731,23.73,95,100,100,100,100
148,moyynkum,44.2914,72.9469,7.92,44,67,67,67,67
149,mili,6.0815,171.735,27.06,85,100,100,100,100
150,timbuktu,16.7735,-3.0074,23.67,10,15,15,15,15
151,tura,25.5198,90.2201,25.13,48,53,53,53,53
152,porto novo,6.4965,2.6036,26.9,90,89,89,89,89
153,conception bay south,47.4999,-52.9981,2.63,96,100,100,100,100
154,camana,-16.6228,-72.7111,19.38,81,45,45,45,45
155,siwa oasis,29.2041,25.5195,14.89,69,81,81,81,81
156,talodi,10.6325,30.3797,25.47,31,84,84,84,84
157,regina,50.4501,-104.6178,-4.98,78,0,0,0,0
158,guercif,34.2257,-3.3536,9.22,75,10,10,10,10
159,nova sintra,14.8667,-24.7167,22.4,78,66,66,66,66
160,narvik,68.4384,17.4272,-7.63,83,65,65,65,65
161,waterville,44.552,-69.6317,3.58,96,100,100,100,100
162,vilyuysk,63.7553,121.6247,-41.44,99,72,72,72,72
163,emporia,38.4039,-96.1817,1.61,100,100,100,100,100
164,wailua homesteads,22.0669,-159.378,25.44,83,20,20,20,20
165,chernyshevsk,52.5243,117.0174,-10.57,90,100,100,100,100
166,mabaruma,8.2,-59.7833,23.19,95,0,0,0,0
167,westport,41.1415,-73.3579,10.05,92,100,100,100,100
168,kapit,2.0167,112.9333,28.77,82,72,72,72,72
169,fakenham,52.83,0.8477,0.36,84,81,81,81,81
